2026-03-14 17:10:54.779767 IP 172.17.0.5.22 > 73.82.6.95.61487: Flags [P.], seq 2071387733:2071387857, ack 3525004215, win 437, length 124
2026-03-14 17:10:54.798379 IP 73.82.6.95.61487 > 172.17.0.5.22: Flags [P.], seq 1:37, ack 4294967260, win 254, length 36
2026-03-14 17:10:54.798514 IP 172.17.0.5.22 > 73.82.6.95.61487: Flags [P.], seq 124:160, ack 37, win 437, length 36
2026-03-14 17:10:54.807791 IP 73.82.6.95.61487 > 172.17.0.5.22: Flags [.], ack 124, win 254, length 0
2026-03-14 17:10:54.816304 IP 73.82.6.95.61487 > 172.17.0.5.22: Flags [P.], seq 37:73, ack 124, win 254, length 36
2026-03-14 17:10:54.816492 IP 172.17.0.5.22 > 73.82.6.95.61487: Flags [P.], seq 160:196, ack 73, win 437, length 36
2026-03-14 17:10:54.834281 IP 73.82.6.95.61487 > 172.17.0.5.22: Flags [P.], seq 73:109, ack 160, win 254, length 36
2026-03-14 17:10:54.834448 IP 172.17.0.5.22 > 73.82.6.95.61487: Flags [P.], seq 196:232, ack 109, win 437, length 36
2026-03-14 17:10:54.856767 IP 73.82.6.95.61487 > 172.17.0.5.22: Flags [P.], seq 109:145, ack 196, win 253, length 36
2026-03-14 17:10:54.856996 IP 172.17.0.5.22 > 73.82.6.95.61487: Flags [P.], seq 232:268, ack 145, win 437, length 36
2026-03-14 17:10:54.883659 IP 73.82.6.95.61487 > 172.17.0.5.22: Flags [.], ack 268, win 253, length 0
2026-03-14 17:10:54.892607 IP 73.82.6.95.61487 > 172.17.0.5.22: Flags [P.], seq 145:181, ack 268, win 253, length 36
2026-03-14 17:10:54.892846 IP 172.17.0.5.22 > 73.82.6.95.61487: Flags [P.], seq 268:304, ack 181, win 437, length 36
2026-03-14 17:10:54.933715 IP 73.82.6.95.61487 > 172.17.0.5.22: Flags [P.], seq 181:217, ack 268, win 253, length 36
2026-03-14 17:10:54.933955 IP 172.17.0.5.22 > 73.82.6.95.61487: Flags [P.], seq 304:340, ack 217, win 437, length 36
2026-03-14 17:10:54.959905 IP 73.82.6.95.61487 > 172.17.0.5.22: Flags [P.], seq 217:253, ack 304, win 253, length 36
2026-03-14 17:10:54.960102 IP 172.17.0.5.22 > 73.82.6.95.61487: Flags [P.], seq 340:376, ack 253, win 437, length 36
2026-03-14 17:10:54.986815 IP 73.82.6.95.61487 > 172.17.0.5.22: Flags [P.], seq 253:289, ack 340, win 253, length 36
2026-03-14 17:10:54.987015 IP 172.17.0.5.22 > 73.82.6.95.61487: Flags [P.], seq 376:412, ack 289, win 437, length 36
2026-03-14 17:10:55.009203 IP 73.82.6.95.61487 > 172.17.0.5.22: Flags [P.], seq 289:325, ack 376, win 253, length 36
